"","CD107a","IFN.g","MIP1.b","ADCD","ADCC","ADCP","ADNP"
"35-12",5.16,1.78,2.86,0,1.53,5.6,0.17
"36-12",4.32,1.48,1.91,2.65,2.41,4.39,0.17
"71-12",4.95,1.92,2.47,0.25,1.63,2.91,0.15
"86-12",4.66,2.13,3.64,45.1,1.62,5,0.19
"357-08",4.82,1.41,2.6,0.35,4.26,4.56,0.2
"201-08",4.89,2.07,3.44,1.83,1.37,3.63,0.21
"92-09",3.95,1.43,1.26,0.55,2.12,4.78,0.14
"53-12",4.8,1.77,2.09,45.85,1.52,2.65,0.16
"47-12",4.91,1.86,3.06,2.28,1.05,4.87,0.2
"52-12",5.1,2.01,2.74,0,4.52,3.65,0.16
"63-12",5.37,1.75,2.93,0.39,4.64,2.98,0.17
"43-12",5.8,1.83,5,46.26,1.16,2.86,0.2
"54-12",5.05,2,4.43,0.73,1.49,3.31,0.16
"77-12",5.1,1.85,2.47,0.5,7.53,5.6,0.17
"49-12",7.89,3.89,10.9,0.55,7.06,3.67,0.18
"41-12",5.71,2.71,5.91,0.87,1.15,3.49,0.2
"74-12",4.91,2.28,5.34,0,6.28,2.74,0.14
"48-12",5.5,2.31,5.41,0.45,4.27,2.49,0.15
