"","CD107a","IFN.g","MIP1.b","ADCD","ADCC","ADCP","ADNP"
"35-12",6.52,2.45,6.11,67.9,5.57,21.27,11.41
"36-12",6.95,3.16,8.33,92.14,6.78,17.47,20.07
"71-12",5.12,1.91,3.89,83.66,4.86,16.53,4.92
"86-12",5.53,2.34,4.98,92.78,5.26,16.94,5.68
"357-08",6.11,2.7,9.3,89.72,2.78,19.89,12.78
"201-08",8.32,4.36,12.4,82.05,4.25,22.45,16.77
"92-09",4.93,2.11,3.83,93.58,4.49,17.71,12.99
"53-12",6.26,3.07,7.23,90.64,4.86,16.33,16.66
"47-12",9.42,4.74,15.25,67.65,6.16,21.81,29.95
"52-12",4.84,1.86,2.08,94.8,11.57,19.3,12.76
"63-12",4.82,1.52,2.21,83.95,10.42,14.55,16.65
"43-12",5.49,2.35,5.36,94.65,9.17,14.7,24.2
"54-12",4.79,1.65,2.15,94.32,9.42,12.07,24.63
"77-12",7.78,4.23,9.57,45.26,9.7,11.98,17.08
"49-12",5.63,1.87,4.54,94.96,11.06,13.72,23.35
"41-12",6.19,3.11,7.13,62.65,9.24,15.47,13.25
"74-12",6.89,3.68,8.07,91.7,10.77,18.94,20.77
"48-12",11.55,7.49,20.55,89.59,8.81,18.17,36.25
