"","CD107a","IFN.g","MIP1.b","ADCD","ADCC","ADCP","ADNP"
"35-12",5.19,1.79,2.74,24.78,6.51,14.9,0.96
"36-12",4.85,2.23,3.18,79.04,2.86,15.77,5.78
"71-12",5.44,2.28,3.47,1.05,3.91,16.35,0.45
"86-12",6.27,2.53,7.49,30.95,3.34,25.97,8.12
"357-08",4.97,1.81,2.57,0.44,4.18,17.46,0.56
"201-08",5.21,1.77,3.45,0.62,3.99,13.52,0.41
"92-09",4.84,2.15,2.39,0.55,4.16,7.42,0.2
"53-12",4.83,1.98,3.77,7.97,2.46,17.17,3.82
"47-12",5.76,2.24,4.28,16.6,3.64,19.8,2.83
"52-12",4.71,2.21,2.79,21.64,10.5,15.68,3.95
"63-12",4.99,2.24,2.84,0.44,12.6,13.11,2.49
"43-12",4.84,2.23,2.77,64.18,5.71,10.07,3.12
"54-12",4.44,1.84,1.87,2.65,4.52,6.99,0.26
"77-12",4.06,1.85,1.6,3.74,11.47,11.93,2.37
"49-12",4.38,1.82,1.71,12.49,3.56,11.87,0.89
"41-12",4.65,1.81,1.9,46.39,9.11,6.1,0.19
"74-12",4.52,2.1,1.94,0,7.9,10.18,0.46
"48-12",6.59,3.2,5.35,1.54,13.68,17.88,9.13
