"","CD107a","IFN.g","MIP1.b","ADCD","ADCC","ADCP","ADNP"
"35-12",5.98,3.11,6.37,89.82,7.49,17.28,12.81
"36-12",7.1,3.4,8.75,90.3,5.32,15.42,19.33
"71-12",7.52,3.59,9,92.02,4.42,25.24,13.68
"86-12",5.67,1.74,3.87,47.11,4.24,19.06,5.75
"357-08",5.66,2.27,4.94,92.16,7.15,19.23,14.79
"201-08",5.44,2.59,6.18,84,1.37,20.77,17.52
"92-09",7.25,3.39,8.75,88.68,5.4,17.77,17.19
"53-12",7.81,3.83,10.95,93.28,3.19,18.17,22.16
"47-12",8.38,4.55,13.25,92.58,5.89,17.68,28.46
"52-12",9.26,4.41,13,91.9,5.66,13.21,21.34
"63-12",5.7,2.78,4.51,93.29,5.89,18.54,12.82
"43-12",5.27,3.42,4.82,48.57,3.42,13.67,28.68
"54-12",7.99,5.59,11.6,94.08,4.12,15.02,26.54
"77-12",8.83,4.27,12.41,90.96,9.97,22.28,16.44
"49-12",5.03,2.95,6.16,91.09,5.46,18.78,10.37
"41-12",9.27,4.16,11.87,91.98,9.11,13.15,21.48
"74-12",8.14,4.16,10.2,92.15,6.7,13.81,18.01
"48-12",13.78,8.75,21.1,90.42,7.96,13.2,44.81
