"","CD107a","IFN.g","MIP1.b","ADCD","ADCC","ADCP","ADNP"
"35-12",4.76,2.08,3,0.67,1.44,3.39,0.15
"36-12",5.22,1.75,3.45,1.65,1.04,4.26,0.15
"71-12",4.78,1.82,2.36,0.57,1.6,3.65,0.18
"86-12",4.13,1.78,1.85,1.43,2.55,3.26,0.16
"357-08",4.93,1.96,2.62,0.4,6.76,1.46,0.16
"201-08",4.91,1.72,2.69,1.2,1.81,2.74,0.11
"92-09",4.43,2.23,2.92,1.51,2.93,4.98,0.19
"53-12",4.38,1.51,2.17,0.95,2.71,6.26,0.15
"47-12",4.44,1.21,2.98,0.05,0.79,4.05,0.15
"52-12",7.03,3.75,9.41,0.76,1.08,4.4,0.16
"63-12",4.68,2.11,3.88,0,3.62,2.98,0.24
"43-12",4.87,1.58,1.88,0,1.07,3.57,0.18
"54-12",4.55,1.99,1.74,0,1.15,2.3,0.12
"77-12",5.28,1.68,2.69,0,5.79,3.75,0.16
"49-12",5.05,2.46,3.03,0.27,1.49,3.6,0.16
"41-12",4.8,2.1,2.83,0,1.18,5.12,0.17
"74-12",6.11,2.65,6.98,1.47,3.22,4.32,0.14
"48-12",4.6,2.18,3.25,0,1.38,3.39,0.14
